filename,target,category,umap1,umap2
1-100032-A-0.wav,0,dog,39.470005,-3.5557642
1-100038-A-14.wav,14,chirping_birds,45.61101,-2.8426602
1-100210-A-36.wav,36,vacuum_cleaner,47.76779,-2.640538
1-100210-B-36.wav,36,vacuum_cleaner,48.019928,-2.823404
1-101296-A-19.wav,19,thunderstorm,42.049103,-0.28268763
1-101296-B-19.wav,19,thunderstorm,41.973225,-0.32048634
1-101336-A-30.wav,30,door_wood_knock,48.184044,-7.3984904
1-101404-A-34.wav,34,can_opening,48.28233,-7.227049
1-103298-A-9.wav,9,crow,44.21505,-0.54591125
1-103995-A-30.wav,30,door_wood_knock,48.47187,-7.8456206
1-103999-A-30.wav,30,door_wood_knock,48.493504,-7.8386583
1-104089-A-22.wav,22,clapping,47.149117,-5.7391477
1-104089-B-22.wav,22,clapping,46.94612,-5.6695814
1-105224-A-22.wav,22,clapping,39.907894,-0.038211357
1-110389-A-0.wav,0,dog,38.542065,-2.821465
1-110537-A-22.wav,22,clapping,43.90905,-1.498705
1-115521-A-19.wav,19,thunderstorm,41.3466,-0.12861845
1-115545-A-48.wav,48,fireworks,41.054783,0.031143382
1-115545-B-48.wav,48,fireworks,41.02222,-0.35213757
1-115545-C-48.wav,48,fireworks,41.065014,-0.2582543
1-115546-A-48.wav,48,fireworks,41.32006,-0.18909188
1-115920-A-22.wav,22,clapping,49.813034,-6.9696083
1-115920-B-22.wav,22,clapping,47.158592,-5.746035
1-115921-A-22.wav,22,clapping,47.590496,-6.0760713
1-116765-A-41.wav,41,chainsaw,44.846718,-0.14614156
1-11687-A-47.wav,47,airplane,40.784115,0.86409485
1-118206-A-31.wav,31,mouse_click,50.540123,-8.008891
1-118559-A-17.wav,17,pouring_water,45.535843,-3.5334663
1-119125-A-45.wav,45,train,41.54597,0.57316023
1-121951-A-8.wav,8,sheep,46.250023,-1.4679487
1-12653-A-15.wav,15,water_drops,50.759785,-7.754792
1-12654-A-15.wav,15,water_drops,50.143875,-8.003337
1-12654-B-15.wav,15,water_drops,50.100964,-7.98339
1-13571-A-46.wav,46,church_bells,49.72696,-3.7985137
1-13572-A-46.wav,46,church_bells,49.574135,-4.196073
1-13613-A-37.wav,37,clock_alarm,48.069016,-3.2289655
1-137-A-32.wav,32,keyboard_typing,50.49018,-8.480781
1-137296-A-16.wav,16,wind,42.77807,0.21752167
1-14262-A-37.wav,37,clock_alarm,48.906555,-4.040307
1-155858-A-25.wav,25,footsteps,50.369926,-8.193746
1-155858-B-25.wav,25,footsteps,50.49443,-8.237201
1-155858-C-25.wav,25,footsteps,50.511837,-8.167548
1-155858-D-25.wav,25,footsteps,50.491085,-8.235292
1-155858-E-25.wav,25,footsteps,50.35038,-8.275789
1-155858-F-25.wav,25,footsteps,50.4615,-8.159624
1-15689-A-4.wav,4,frog,45.956867,-3.2382107
1-15689-B-4.wav,4,frog,46.053112,-3.09308
1-160563-A-48.wav,48,fireworks,47.72944,-7.0669246
1-160563-B-48.wav,48,fireworks,49.740513,-7.692825
1-16568-A-3.wav,3,cow,40.612633,-2.0643172
1-16746-A-15.wav,15,water_drops,38.519802,-2.917426
1-17092-A-27.wav,27,brushing_teeth,47.184505,-5.120141
1-17092-B-27.wav,27,brushing_teeth,39.854168,-0.70920956
1-17124-A-43.wav,43,car_horn,38.49349,-2.7629824
1-17150-A-12.wav,12,crackling_fire,50.44581,-8.306016
1-172649-A-40.wav,40,helicopter,43.562874,0.5442753
1-172649-B-40.wav,40,helicopter,43.532104,0.57036513
1-172649-C-40.wav,40,helicopter,43.486782,0.31803924
1-172649-D-40.wav,40,helicopter,46.859104,-5.840853
1-172649-E-40.wav,40,helicopter,43.356903,0.58728814
1-172649-F-40.wav,40,helicopter,43.38823,0.96663064
1-17295-A-29.wav,29,drinking_sipping,48.60385,-7.091886
1-17367-A-10.wav,10,rain,39.775997,0.30511028
1-17565-A-12.wav,12,crackling_fire,50.519432,-8.5558605
1-17585-A-7.wav,7,insects,47.80773,-2.6721857
1-17742-A-12.wav,12,crackling_fire,50.668026,-8.244975
1-17808-A-12.wav,12,crackling_fire,47.102722,-6.3433704
1-17808-B-12.wav,12,crackling_fire,47.062004,-6.3135505
1-1791-A-26.wav,26,laughing,39.49166,-2.4764915
1-17970-A-4.wav,4,frog,45.773563,-3.2632325
1-18074-A-6.wav,6,hen,50.219036,-6.992724
1-18074-B-6.wav,6,hen,50.59329,-7.287974
1-181071-A-40.wav,40,helicopter,40.277676,0.4024226
1-181071-B-40.wav,40,helicopter,40.322582,0.45934874
1-18527-A-44.wav,44,engine,40.968956,0.7780047
1-18527-B-44.wav,44,engine,41.351845,0.5846711
